,Unnamed: 0,TrackID,cell_x,cell_y,death_time
450,450,478,397.15,753.35,220
451,451,479,427.7,752.05,185
452,452,480,234.0,755.95,175
453,453,481,170.3,755.95,15
454,454,482,360.75,141.7,245
455,455,483,329.55,759.85,175
456,456,484,503.1,755.3,185
457,457,485,602.55,755.3,280
458,458,486,211.25,763.1,210
459,459,487,374.4,765.7,210
460,460,488,520.65,761.15,175
461,461,489,157.3,755.3,205
462,462,490,188.5,759.85,150
463,463,491,316.55,766.35,235
464,464,492,474.5,766.35,180
465,465,493,242.45,763.75,185
466,466,494,578.5,767.0,215
467,467,495,551.2,768.3,190
468,468,496,270.4,768.95,160
469,469,497,575.25,350.35,205
470,470,498,153.4,332.8,270
471,471,499,235.3,329.55,210
472,472,500,359.45,335.4,245
473,473,501,449.15,336.7,240
474,474,502,501.15,335.4,195
475,475,503,110.5,334.1,250
476,476,504,594.75,341.25,195
477,477,505,468.0,343.85,250
478,478,506,617.5,349.7,200
479,479,507,433.55,341.9,210
480,480,508,125.45,342.55,215
481,481,509,75.4,346.45,225
482,482,510,548.6,341.9,235
483,483,511,198.9,343.2,260
484,484,512,419.9,340.6,250
485,485,513,581.1,334.75,215
486,486,514,486.85,348.4,225
487,487,515,605.15,349.05,170
488,488,516,150.8,350.35,180
489,489,517,257.4,349.05,190
490,490,518,339.95,345.15,210
491,491,519,218.4,351.65,260
492,492,520,167.7,352.3,230
493,493,521,135.85,356.85,240
494,494,522,304.85,349.05,185
495,495,523,89.05,357.5,230
496,496,524,117.65,353.6,190
497,497,525,269.75,351.0,170
498,498,526,525.2,359.45,240
499,499,527,588.9,356.85,215
500,500,528,117.0,319.15,240
501,501,529,497.9,305.5,215
502,502,530,83.2,308.1,260
503,503,531,193.05,303.55,255
504,504,532,235.95,307.45,225
505,505,533,150.15,312.0,245
506,506,534,477.1,307.45,260
507,507,535,402.35,311.35,225
508,508,536,422.5,313.95,190
509,509,537,362.7,314.6,215
510,510,538,548.6,310.7,90
511,511,539,258.7,312.65,270
512,512,540,167.05,317.2,270
513,513,541,323.7,313.3,205
514,514,542,193.7,317.85,250
515,515,543,586.3,325.65,185
516,516,544,400.4,355.55,205
517,517,545,531.05,323.05,215
518,518,546,341.25,319.8,185
519,519,547,514.15,317.85,200
520,520,548,602.55,335.4,205
521,521,549,471.9,322.4,230
522,522,550,382.2,326.95,250
523,523,551,131.95,326.95,230
524,524,552,287.95,325.0,235
525,525,553,95.55,328.25,260
526,526,554,210.6,328.25,245
527,527,555,311.35,328.25,245
528,528,556,564.2,332.15,225
529,529,557,170.95,332.15,275
530,530,558,548.6,326.95,225
531,531,559,62.4,393.9,230
532,532,560,591.5,381.55,170
533,533,561,560.95,385.45,150
534,534,562,494.0,380.9,225
535,535,564,387.4,382.85,240
536,536,565,429.65,385.45,210
537,537,566,76.7,388.7,205
538,538,567,98.15,392.6,220
539,539,568,287.95,389.35,150
540,540,569,40.95,392.6,315
541,541,570,577.85,395.2,225
542,542,572,202.15,389.35,250
543,543,573,531.7,392.6,235
544,544,574,156.0,394.55,225
545,545,575,204.1,375.05,240
546,546,576,119.6,397.8,225
547,547,577,248.3,391.3,175
548,548,578,410.8,391.95,180
549,549,579,185.25,391.3,240
550,550,580,482.3,393.9,205
551,551,581,170.95,399.1,235
552,552,582,512.2,393.25,235
553,553,583,144.3,401.05,215
554,554,584,396.5,399.1,180
555,555,585,460.2,398.45,200
556,556,586,269.75,405.6,180
557,557,587,296.4,403.0,225
558,558,588,360.75,399.1,265
559,559,589,542.75,407.55,195
560,560,590,111.15,372.45,165
561,561,591,241.8,360.1,205
562,562,592,377.0,359.45,255
563,563,593,496.6,358.8,160
564,564,594,614.9,365.95,210
565,565,595,209.3,362.05,230
566,566,596,351.0,360.75,245
567,567,597,605.15,363.35,195
568,568,598,559.0,361.4,180
569,569,599,66.3,366.6,355
570,570,600,435.5,362.05,225
571,571,601,333.45,364.0,190
572,572,602,482.95,367.9,235
573,573,603,318.5,365.95,150
574,574,604,579.8,369.85,160
575,575,606,456.95,306.8,285
576,576,607,186.55,371.8,245
577,577,608,251.55,368.55,195
578,578,609,509.6,371.15,205
579,579,610,40.95,379.6,340
580,580,611,172.25,369.85,230
581,581,612,461.5,373.1,245
582,582,613,219.05,373.75,255
583,583,615,239.85,375.7,245
584,584,617,161.85,380.25,225
585,585,618,408.85,373.75,215
586,586,619,606.45,380.25,220
587,587,620,618.8,380.25,225
588,588,621,409.5,230.75,185
589,589,622,137.8,207.35,225
590,590,623,57.85,208.65,215
591,591,624,116.35,208.65,200
592,592,625,300.95,213.2,195
593,593,626,192.4,212.55,225
594,594,627,458.25,227.5,255
595,595,628,100.75,213.2,230
596,596,630,445.25,230.75,225
597,597,631,369.85,217.75,300
598,598,632,468.0,237.25,260
599,599,633,178.1,220.35,225
600,600,634,339.3,221.65,225
601,601,635,226.2,224.9,245
602,602,637,420.55,217.75,185
603,603,638,274.3,227.5,235
604,604,639,302.9,227.5,245
605,605,640,169.65,232.05,225
606,606,641,48.75,228.8,225
607,607,642,241.15,231.4,250
608,608,643,109.85,229.45,170
609,609,644,381.55,227.5,240
610,610,645,486.2,246.35,245
611,611,646,367.9,234.0,230
