 CellID,cell_x,cell_y,death_time
403,741.394,826.208,310
404,771.386,780.738,320
405,748.812,791.057,330
406,758.486,828.466,340
407,757.519,802.667,350
408,766.226,811.696,360
409,744.942,813.631,360
410,718.176,816.211,360
411,730.752,803.957,360
412,730.107,829.111,340
413,718.176,831.69,340
414,672.705,836.85,300
415,687.862,847.815,310
416,706.244,846.202,320
417,669.48,850.717,330
418,630.352,808.364,520
419,646.261,798.474,730
420,662.601,793.53,830
421,659.161,781.06,260
422,641.316,785.575,290
423,640.456,766.441,310
424,633.362,753.971,320
425,627.342,764.506,330
426,623.687,756.766,330
427,620.247,748.382,330
428,618.957,727.098,320
429,613.798,752.252,340
430,600.253,748.167,360
431,609.068,740.642,370
432,601.328,717.208,400
433,590.149,737.632,440
434,653.786,743.007,270
435,647.551,730.967,280
436,644.971,705.384,250
437,673.995,720.218,290
438,658.086,720.218,300
439,634.867,738.922,310
440,664.75,696.139,310
441,677.005,687.324,310
442,686.679,700.654,270
443,672.705,736.557,230
444,719.788,740.857,270
445,713.123,782.78,260
446,699.579,771.601,260
447,727.743,789.66,270
448,738.492,786.435,280
449,728.388,720.648,310
450,776.76,728.818,320
451,751.177,717.208,400
452,704.309,609.175,380
453,770.096,704.309,690
454,746.554,664.32,650
455,756.874,649.809,680
456,770.741,630.137,490
457,649.486,610.788,240
458,621.43,706.244,340
459,617.882,679.8,460
460,604.983,692.699,520
461,580.474,668.513,410
462,593.374,654.968,430
463,569.187,649.809,380
464,563.705,666.255,690
465,563.382,682.702,600
466,585.311,626.267,1210
467,600.468,629.492,350
468,629.814,622.72,520
469,611.11,654.323,390
470,732.042,607.24,930
471,708.501,633.684,870
472,815.889,706.244,920
473,916.182,701.406,800
474,936.176,697.536,780
475,869.636,777.19,490
476,812.879,760.421,490
477,814.599,632.287,750
478,768.161,635.727,920
479,760.744,592.729,1010
480,736.235,587.891,1070
481,705.276,561.77,260
482,784.608,644.971,980
483,843.622,571.122,740
484,831.69,557.255,770
485,818.146,584.021,360
486,748.812,523.394,360
487,687.217,477.924,500
488,624.977,510.817,390
489,571.445,518.234,420
490,733.01,500.498,610
491,669.48,459.22,1200
492,663.675,498.885,1160
493,685.282,544.033,920
494,605.628,554.998,320
495,571.122,603.693,470
496,562.737,615.625,470
497,686.894,355.379,270
