Experiment_name,SPI,NI,Treatment,Cell Line + Treatment,Cell Line,Origin,Mode,Density,pvalue,sliding_time_window_size,neighbors_dist_threshold
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5369458128078818,0.21037463976945245,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,90,150
field13_crop-001_ROI#1_annotation_mixed.csv,0.32357813362782994,0.19597069597069597,MixedColony,MCF10A+field13_crop-001_roi#1_annotation_mixed.csv,MCF10A,field13_colony,mixed,546,0.0,90,150
Field14-002_ROI#1_annotation_mixed.csv,0.32429520560244207,0.17996870109546165,MixedColony,MCF10A+field14-002_roi#1_annotation_mixed.csv,MCF10A,field14_colony,mixed,641,0.0,90,150
7-20-23_10arednuclei_ROI#10_annotation_mixed.csv,0.251542152159013,0.1693121693121693,MixedColony,MCF10A+7-20-23_10arednuclei_roi#10_annotation_mixed.csv,MCF10A,field11_colony,mixed,200,0.0,90,150
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_mixed.csv,0.6036847208754675,0.17983193277310924,MixedColony,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_mixed.csv,MCF10A,field14_two_colony,mixed,596,0.0,90,150
purecolony3_sytox_based.csv,-0.010484927916120544,0.22853535353535354,MixedColony,MCF10A+purecolony3_sytox_based.csv,MCF10A,pure_colony_3,Necrosis,818,0.143,90,150
purecolony_sytox_based.csv,0.13805697589481378,0.21987315010570824,MixedColony,MCF10A+purecolony_sytox_based.csv,MCF10A,pure_colony_1,Necrosis,930,0.0,90,150
purecolony2_sytox_based.csv,0.005532503457814669,0.2462962962962963,MixedColony,MCF10A+purecolony2_sytox_based.csv,MCF10A,pure_colony_2,Necrosis,975,0.028,90,150
mixcolony1.csv,0.2717525773195877,0.19881305637982197,MixedColony,MCF10A+mixcolony1.csv,MCF10A,mix_colony_1,mixed,337,0.0,90,150
mixcolony2_field13.csv,0.37292904032510155,0.18714555765595464,MixedColony,MCF10A+mixcolony2_field13.csv,MCF10A,mix_colony_2,mixed,529,0.0,90,150
mixcolony3.csv,0.12345041322314058,0.16826923076923078,MixedColony,MCF10A+mixcolony3.csv,MCF10A,mix_colony_3,mixed,208,0.0,90,150
20181227_MCF10A_SKT_xy1.csv,0.0637254901960784,0.2909090909090909,MixedColony,MCF10A+TRAIL,MCF10A,skt_1,Apoptosis,165,0.005,90,150
20181227_MCF10A_SKT_xy2.csv,0.12280701754385971,0.35,MixedColony,MCF10A+TRAIL,MCF10A,skt_2,Apoptosis,140,0.0,90,150
20181227_MCF10A_SKT_xy3.csv,0.024000000000000053,0.37320574162679426,MixedColony,MCF10A+TRAIL,MCF10A,skt_3,Apoptosis,209,0.026,90,150
20181227_MCF10A_SKT_xy4.csv,0.15384615384615385,0.3,MixedColony,MCF10A+TRAIL,MCF10A,skt_4,Apoptosis,190,0.0,90,150
