Experiment_name,SPI,NI,Treatment,Cell Line + Treatment,Cell Line,Origin,Mode,Density,pvalue,sliding_time_window_size,neighbors_dist_threshold
Field14-002_ROI#1_annotation_nec.csv,0.2996706915477497,0.22088353413654618,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,60,50
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-0.5097402597402596,0.3404255319148936,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.533,60,50
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.3571428571428572,0.22535211267605634,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,60,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.24704545454545454,0.1693548387096774,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,60,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5793103448275863,0.2017291066282421,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,60,50
field13_crop-001_ROI#1_annotation_apop.csv,0.08764607679465779,0.22784810126582278,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,90,50
field13_crop-001_ROI#1_annotation_nec.csv,0.273492286115007,0.23624595469255663,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,90,50
Field14-002_ROI#1_annotation_apop.csv,0.1574154379878578,0.21649484536082475,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,90,50
Field14-002_ROI#1_annotation_nec.csv,0.2861788617886179,0.24899598393574296,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,90,50
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-0.5317073170731709,0.3191489361702128,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.589,90,50
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.35483870967741943,0.23943661971830985,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,90,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.24948382656572607,0.1693548387096774,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,90,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5806122448979592,0.21613832853025935,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,90,50
field13_crop-001_ROI#1_annotation_apop.csv,0.08542141230068338,0.23628691983122363,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,120,50
field13_crop-001_ROI#1_annotation_nec.csv,0.34086956521739126,0.255663430420712,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,120,50
Field14-002_ROI#1_annotation_apop.csv,0.17126436781609192,0.22422680412371135,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,120,50
Field14-002_ROI#1_annotation_nec.csv,0.3213530655391121,0.26506024096385544,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,120,50
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-0.4935897435897436,0.3404255319148936,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.518,120,50
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.3385300668151447,0.2535211267605634,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,120,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.24813432835820892,0.1774193548387097,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,120,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5477453580901857,0.2334293948126801,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,120,50
field13_crop-001_ROI#1_annotation_apop.csv,0.058252427184466035,0.14767932489451477,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,5,100
field13_crop-001_ROI#1_annotation_nec.csv,0.2629846902275003,0.11003236245954692,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,5,100
Field14-002_ROI#1_annotation_apop.csv,0.16240928882438324,0.14432989690721648,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,5,100
Field14-002_ROI#1_annotation_nec.csv,0.21011549183592193,0.12449799196787148,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,5,100
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,0.035739313244568985,0.1702127659574468,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.029,5,100
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.32302300777083653,0.14788732394366197,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,5,100
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.24732762737391167,0.14112903225806453,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,5,100
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5477506775067751,0.0893371757925072,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,5,100
field13_crop-001_ROI#1_annotation_apop.csv,0.057838179519595426,0.1518987341772152,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,10,100
